Variant: full
Loading data...
Data: 4094 cascades, train=3275, val=409, test=410, D_max=2
Ref lengths: mean=78.3, median=16
Model params: 851,879
Training...
[Step 29100] loss=229.4737
[Step 29200] loss=204.6528
[Step 29300] loss=193.7535
[Step 29400] loss=250.1593
[Step 29500] loss=164.7005
[Step 29600] loss=296.6123
[Step 29700] loss=329.2595
[Step 29800] loss=215.7594
[Step 29900] loss=256.4289
[Step 30000] loss=200.4175
  [Eval] gen_mean=72.0 gen_median=13 ref_mean=78.3 W1=0.2417 ins=14693 del=14017 depth_dist=[95/13087/1212]
Training complete. Best W1: 0.1783
